column,provenance,definition
segment_id,observed,Join key. Identical to id in data/silverstone_2024_track_segments.csv.
segment_type,observed,"Straight/Corner, copied unchanged from the existing segments CSV."
region_key,observed,Built only from corners.Number/Letter. Authoritative stable identifier.
region_description,derived,Human-readable rendering of region_key. No external input.
region_name_external,assumed,"ASSUMED, EXTERNAL. Published circuit naming; FastF1 supplies no Name column. NULLABLE. Never use as a key."
corner_number,observed,"corners.Number. NULL for straights, matching the existing CSV convention."
d_start_m,observed,"corners.Distance in metres, verified against the telemetry Distance channel."
d_end_m,observed,corners.Distance in metres. Equal to d_start_m for corners.
arc_length_m,derived,"d_end_m - d_start_m, wrap-aware for segment 1. Racing-line distance."
chord_length_m,derived,Straight-line X/Y chord divided by the fitted coordinate scale. Centreline chord.
lap_fraction_start,derived,d_start_m / lap_length_m.
lap_fraction_end,derived,d_end_m / lap_length_m.
sector_start,derived,"Sector containing lap_fraction_start, from the multi-lap fraction boundaries."
sector_end,derived,Sector containing lap_fraction_end.
crosses_sector_boundary,derived,True where sector_start != sector_end.
corner_angle_raw,assumed,"corners.Angle verbatim. Values observed; SEMANTICS UNDOCUMENTED. Carried, never consumed."
approx_radius_legacy,observed,"Existing approx_radius verbatim, republished so hazard's actual input is documented."
approx_radius_legacy_m,derived,approx_radius_legacy / fitted scale. Not a physical radius.
legacy_length_raw,observed,"Existing length column verbatim, including the known segment-1 defect."
legacy_length_m,derived,legacy_length_raw / fitted scale.
legacy_sector,observed,"Existing scalar sector column verbatim, including its known S1 under-assignment."
